@relation Best.Context.app

@attribute minAcc numeric
@attribute maxAcc numeric
@attribute sdDevAcc numeric
@attribute avgMicAmplitude numeric
@attribute avgSpeed numeric
@attribute class {cycle,walkNoisy,walkSilent,run,stationarySilent,stationaryNoisy}

@data
9.419095,9.419095,0.000014,481.742188,2,stationarySilent
9.435076,9.435076,0.000007,76.617188,2,stationarySilent
9.444878,9.444878,0.000003,72.0625,0,stationarySilent
9.424138,9.424138,0.000006,73.265625,0,stationarySilent
9.43138,9.43138,0.000006,78.757813,6,stationarySilent
9.430995,9.430995,0.000004,75.164063,7,stationarySilent
9.421456,9.421456,0.000004,64.90625,4,stationarySilent
9.418103,9.418103,0.000009,67.328125,6,stationarySilent
9.419986,9.419986,0.000007,76.695313,4,stationarySilent
9.42623,9.42623,0.000002,92.757813,2,stationarySilent
9.421777,9.421777,0.000011,104.867188,1,stationarySilent
9.411689,9.411689,0.000004,111.789063,1,stationarySilent
9.433978,9.433978,0.000008,124.445313,0,stationarySilent
9.42063,9.42063,0.000011,129.328125,0,stationarySilent
9.426046,9.426046,0.000011,111.898438,0,stationarySilent
9.409698,9.409698,0.000016,92.859375,0,stationarySilent
9.407316,9.407316,0.000007,103.226563,0,stationarySilent
9.423569,9.423569,0.000011,94.390625,0,stationarySilent
9.415736,9.415736,0.000004,70.3125,0,stationarySilent
9.421496,9.421496,0.000009,73.109375,0,stationarySilent
9.414701,9.414701,0.000015,71.773438,0,stationarySilent
9.421968,9.421968,0.000015,63.9375,0,stationarySilent
9.43508,9.43508,0.000011,61.398438,0,stationarySilent
9.440587,9.440587,0.000004,60.617188,0,stationarySilent
9.439735,9.439735,0.000002,61.234375,0,stationarySilent
9.438131,9.438131,0.000011,61.953125,0,stationarySilent
9.419299,9.419299,0.000009,59.46875,0,stationarySilent
9.42273,9.42273,0,62.304688,0,stationarySilent
9.412673,9.412673,0.000002,71.984375,0,stationarySilent
9.406732,9.406732,0.000006,73.609375,0,stationarySilent
9.422689,9.422689,0.000001,70.976563,0,stationarySilent
9.421138,9.421138,0.000004,74.429688,0,stationarySilent
9.439808,9.439808,0.000008,80.648438,0,stationarySilent
9.39279,9.39279,0.000007,80.828125,0,stationarySilent
9.438255,9.438255,0.000011,75.132813,2,stationarySilent
9.421627,9.421627,0.000003,74.921875,3,stationarySilent
9.41506,9.41506,0.000011,77.835938,2,stationarySilent
9.382405,9.382405,0.000001,70.773438,1,stationarySilent
9.405277,9.405277,0.000003,66.164063,0,stationarySilent
9.413733,9.413733,0.000002,67.25,0,stationarySilent
9.408429,9.408429,0.000008,65.820313,0,stationarySilent
9.436324,9.436324,0.000003,64.15625,0,stationarySilent
9.421468,9.421468,0,62.992188,0,stationarySilent
9.432619,9.432619,0.000001,65.539063,0,stationarySilent
9.379958,9.379958,0.000002,73.078125,0,stationarySilent
9.436611,9.436611,0.000005,113.054688,0,stationarySilent
